,KPI Source/Customer,Measure,score_mean,score_median,score_mode,score_quartile_1,score_quartile_2,score_quartile_3,score_min,score_max,measure_value_mean,measure_value_median,measure_value_mode,measure_value_quartile_1,measure_value_quartile_2,measure_value_quartile_3,measure_value_min,measure_value_max,KPI Source
153,Lummus Technology Inc,Change Age (Average) Odoo,25.862068965517242,0.0,0.0,0.0,0.0,75.0,0.0,100.0,32.516666412353516,32.516666412353516,0.0,0.0,32.516666412353516,65.03333282470703,0.0,65.03333282470703,Ticket Age
154,Lummus Technology Inc,Completed Scans Qualys.,91.57088122605364,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,100.0,88.99364990775135,87.87878787878788,87.5,87.5,87.87878787878788,89.47368421052632,84.21052631578947,95.34883720930233,Finished Scans
155,Lummus Technology Inc,Confirmed Vulnerabilities Qualys,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.512503878814112,14.54089303718728,14.54089303718728,14.48244221726003,14.54089303718728,14.54089303718728,14.44092096741776,14.54089303718728,Vulnerability management
156,Lummus Technology Inc,Converge Resolvers Answered Surveys Weekly (Percentage),16.614420062695928,9.090909090909092,0.0,0.0,9.090909090909092,36.36363636363637,0.0,63.63636363636363,8.082825864272637,8.44965844965845,4.49438202247191,4.926148352540172,8.44965844965845,10.846888260254595,1.36986301369863,16.47058823529412,Managed Answered Surveys Percentage Weekly
157,Lummus Technology Inc,Converge Resolvers Oldest Ticket (Age),5.172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,100.0,368.9655172413793,369.0,394.0,354.5,369.0,382.75,341.0,397.0,Managed Supporter Ticket Oldest (Age)
158,Lummus Technology Inc,Converge Resolvers Oldest Ticket (duration),40.46934865900383,44.44444444444444,58.33333333333334,2.777777777777778,44.44444444444444,58.33333333333334,0.0,100.0,301.11063200851964,161.3333282470703,150.6166687011719,150.6166687011719,161.3333282470703,312.1000061035156,66.55000305175781,1181.949951171875,Managed Supporter Ticket Oldest (duration)
159,Lummus Technology Inc,Cost MTD vs Cost Previous Month to Date,88.91625615763546,85.71428571428571,0.0,0.0,85.71428571428571,100.0,0.0,250.0,75.6318155237852,88.74566673071347,71.18273799890942,68.75078369438653,88.74566673071347,91.999388913638,0.0,104.499507571989,Cost MTD Trend
160,Lummus Technology Inc,Cost Recommendations,30.747126436781613,0.0,0.0,0.0,0.0,100.0,0.0,100.0,38.172413793103445,13.0,0.0,1.0,13.0,64.0,0.0,208.0,Azure Recommendations
161,Lummus Technology Inc,Credential access detections Crowdstrike,98.27586206896552,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Credential access
162,Lummus Technology Inc,Critical CI P1 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Accounting Business Process
