,Customer,KPI Source,mean,median,mode,quartile_1,quartile_2,quartile_3,min,max
44,Converge TP,Survey's score,0.33783783783783783,0.0,0.0,0.0,0.0,0.0,0.0,25.0
45,Converge TP,Switch Availability,15.0,20.0,20.0,15.0,20.0,20.0,0.0,20.0
46,Converge TP,Ticket Age,47.27272727272727,40.0,40.0,40.0,40.0,60.0,30.0,60.0
47,Converge TP,Ticket Churn,61.60919540229885,60.0,60.0,40.0,60.0,80.0,0.0,100.0
48,Converge TP,True Positive Detections,92.51893939393939,100.0,100.0,100.0,100.0,100.0,50.0,100.0
49,Converge TP,Unsecure Logins,81.875,85.0,100.0,75.0,85.0,100.0,30.0,100.0
50,Converge TP,Warranty Expired Devices,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
51,Lummus Technology Inc,Abandonment Rate Daily,96.96969696969698,100.0,100.0,100.0,100.0,100.0,0.0,100.0
52,Lummus Technology Inc,Access Point Availability,65.90909090909092,71.42857142857143,71.42857142857143,57.14285714285715,71.42857142857143,71.42857142857143,0.0,100.0
53,Lummus Technology Inc,Active Detections Crowdstrike,1.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,60.0
54,Lummus Technology Inc,Active Incidents Sentinel,87.12121212121212,100.0,100.0,100.0,100.0,100.0,0.0,100.0
55,Lummus Technology Inc,Answering Speed Time Daily,82.72727272727273,100.0,100.0,100.0,100.0,100.0,0.0,100.0
56,Lummus Technology Inc,Applications Service Management,90.38636363636364,90.0,90.0,88.66666666666667,90.0,98.0,38.0,100.0
57,Lummus Technology Inc,Apps Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
58,Lummus Technology Inc,Azure Advisor Scores (weighted),72.53787878787877,94.44444444444444,97.22222222222223,22.22222222222222,94.44444444444444,97.22222222222223,0.0,100.0
59,Lummus Technology Inc,Azure Advisor Security Score,74.87373737373736,100.0,100.0,22.22222222222222,100.0,100.0,0.0,100.0
60,Lummus Technology Inc,Azure Recommendations,43.03846153846154,40.5,50.0,32.0,40.5,52.66666666666666,0.0,100.0
61,Lummus Technology Inc,Azure Secure Scores (weighted),79.62121212121214,71.11111111111111,71.11111111111111,71.11111111111111,71.11111111111111,93.33333333333333,71.11111111111111,93.33333333333333
62,Lummus Technology Inc,Azure Security Events,75.60369318181819,71.875,71.875,71.875,71.875,81.25,71.875,81.25
63,Lummus Technology Inc,Blocked Web Request,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Lummus Technology Inc,Call SLA Performance Daily,28.78787878787879,20.0,20.0,20.0,20.0,33.33333333333334,0.0,83.33333333333333
65,Lummus Technology Inc,Compliant Devices,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
66,Lummus Technology Inc,Cost MTD Trend,69.03654485049834,85.71428571428571,100.0,0.0,85.71428571428571,100.0,0.0,100.0
67,Lummus Technology Inc,Credential access,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
68,Lummus Technology Inc,CrowdScore,89.01515151515152,100.0,100.0,100.0,100.0,100.0,0.0,100.0
69,Lummus Technology Inc,Data Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
70,Lummus Technology Inc,Detection Quality Weekly,68.33333333333333,100.0,100.0,20.0,100.0,100.0,0.0,100.0
71,Lummus Technology Inc,Device Policy Compliance,25.423728813559325,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,0.0,33.33333333333334
72,Lummus Technology Inc,Devices not seen +30d,19.816438356164383,0.0,0.0,0.0,0.0,46.6,0.0,53.4
